"","Code_voie","Type.de.voie","Nom.de.la.voie","Ardt","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Code.DASCO","X","Coll�ges","maternelle","primaire","college"
"1","0002","RUE DE L","ABBAYE",6,0,"",9999,"","i",6016,"0752187V","JACQUES PREVERT","Ecole maternelle 40 RUE MADAME - PARIS 06
Ecole maternelle 16 RUE SAINT BENOIT - PARIS 06

	","Ecole élémentaire 42 RUE MADAME - PARIS 06
Ecole élémentaire 12 RUE SAINT BENOIT - PARIS 06

	","Collège JACQUES PREVERT 18 RUE SAINT BENOIT - PARIS 06

	"
"2","0002","RUE DE L","ABBAYE",6,0,"",9999,"","p",6016,"0752187V","JACQUES PREVERT","Ecole maternelle 40 RUE MADAME - PARIS 06
Ecole maternelle 16 RUE SAINT BENOIT - PARIS 06

	","Ecole élémentaire 42 RUE MADAME - PARIS 06
Ecole élémentaire 12 RUE SAINT BENOIT - PARIS 06

	","Collège JACQUES PREVERT 18 RUE SAINT BENOIT - PARIS 06

	"
"3","0003","RUE DE L","ABBE CARTON",14,0,"",9999,"","i",14068,"0752544H","FRANCOIS VILLON","Ecole maternelle 23 RUE JACQUIER - PARIS 14

	","Ecole élémentaire 28 RUE PIERRE LAROUSSE - PARIS 14

	","Collège FRANCOIS VILLON 10/16 AVENUE MARC SANGNIER - PARIS 14

	"
"4","0003","RUE DE L","ABBE CARTON",14,0,"",9999,"","p",14068,"0752544H","FRANCOIS VILLON","Ecole maternelle 23 RUE JACQUIER - PARIS 14

	","Ecole élémentaire 28 RUE PIERRE LAROUSSE - PARIS 14

	","Collège FRANCOIS VILLON 10/16 AVENUE MARC SANGNIER - PARIS 14

	"
"5","0004","RUE DE L","ABBE DE L EPEE",5,0,"",9999,"","i",5033,"0752531U","LAVOISIER","Ecole maternelle 242 RUE SAINT JACQUES - PARIS 05

	","Ecole élémentaire 250B RUE SAINT JACQUES - PARIS 05

	","Collège LAVOISIER 17/19 RUE HENRI BARBUSSE - PARIS 05

	"
"6","0004","RUE DE L","ABBE DE L EPEE",5,0,"",9999,"","p",5033,"0752531U","LAVOISIER","Ecole maternelle 242 RUE SAINT JACQUES - PARIS 05

	","Ecole élémentaire 250B RUE SAINT JACQUES - PARIS 05

	","Collège LAVOISIER 17/19 RUE HENRI BARBUSSE - PARIS 05

	"
"7","0005","PLACE","ABBE GEORGES HENOCQUE",13,0,"",9999,"","i",13028,"0752316K","GEORGE SAND","Ecole maternelle 157 RUE DE TOLBIAC - PARIS 13

	","Ecole élémentaire 5 RUE DAMESME - PARIS 13

	","Collège GEORGE SAND 159 RUE DE TOLBIAC - PARIS 13

	"
"8","0005","PLACE","ABBE GEORGES HENOCQUE",13,0,"",9999,"","p",13028,"0752316K","GEORGE SAND","Ecole maternelle 157 RUE DE TOLBIAC - PARIS 13

	","Ecole élémentaire 5 RUE DAMESME - PARIS 13

	","Collège GEORGE SAND 159 RUE DE TOLBIAC - PARIS 13

	"
"9","0006","RUE DE L","ABBE GILLET",16,0,"",9999,"","i",16058,"0752551R","MOLIERE","Ecole maternelle 25 RUE DE PASSY - PARIS 16

	","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16

	","Collège MOLIERE 71 RUE DU RANELAGH - PARIS 16

	"
"10","0006","RUE DE L","ABBE GILLET",16,0,"",9999,"","p",16058,"0752551R","MOLIERE","Ecole maternelle 25 RUE DE PASSY - PARIS 16

	","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16

	","Collège MOLIERE 71 RUE DU RANELAGH - PARIS 16

	"
